#{"t_start": 1777040594.7399514, "env_id": "None"}
r,l,t
-5.172593,100,2.762667
-2.021232,100,3.042733
-7.434457,100,3.290654
-3.315722,100,3.6005
-3.633591,100,3.870746
-4.842807,100,4.145977
-2.673104,100,4.384212
-4.61335,100,4.647602
-7.799944,100,4.898604
-5.935705,100,5.174898
-2.027942,100,5.410127
-1.720913,100,5.673878
-4.359007,100,5.982462
-4.56378,100,6.28979
-3.177819,100,6.595813
-5.394503,100,6.943354
-5.711068,100,7.286944
-4.08178,100,7.614765
-4.998517,100,7.928538
-6.305052,100,8.2324
-5.167416,100,19.488262
-4.005507,100,19.855016
-3.249128,100,20.1701
-3.039387,100,20.464447
-6.173357,100,20.756392
-2.31313,100,21.071388
-3.120682,100,21.339934
-3.639181,100,21.623985
-1.747359,100,21.925239
-3.38736,100,22.203556
-3.093848,100,22.481095
-3.195633,100,22.757308
-3.216254,100,23.046876
-4.821723,100,23.318021
-2.059183,100,23.585479
-3.130502,100,23.878361
-2.677878,100,24.161823
-2.022191,100,24.428885
-3.34474,100,24.698784
-7.484963,100,24.97731
-5.263625,100,35.54849
-2.708106,100,35.829175
-1.570795,100,36.144566
-2.573227,100,36.531514
-4.618533,100,36.903144
-6.055205,100,37.26568
-4.076057,100,37.63124
-2.120809,100,38.134634
-1.396858,100,38.517028
-4.811173,100,38.840851
-3.908648,100,39.231631
-3.539625,100,39.597207
-3.82866,100,40.036416
-3.633818,100,40.358324
-2.470689,100,40.705635
-2.479659,100,41.117705
-2.678892,100,41.438262
-3.003991,100,41.712411
-4.029213,100,42.00471
-3.864031,100,42.279978
-2.478712,100,42.609951
-2.316837,100,53.475517
-2.425161,100,53.760647
-2.226604,100,54.037738
-3.153548,100,54.332434
-4.737359,100,54.622164
-3.784491,100,54.901253
-3.930384,100,55.193403
-2.264502,100,55.475122
-4.586377,100,55.758997
-1.825529,100,56.034466
-1.996791,100,56.335875
-3.4535,100,56.609667
-4.159164,100,56.913552
-4.33868,100,57.219697
-2.4342,100,57.516372
-2.925868,100,57.827843
-2.981752,100,58.122002
-2.486188,100,58.460913
-1.829065,100,58.900034
-3.859085,100,59.227364
-1.988179,100,69.670142
-3.314031,100,69.967076
