#{"t_start": 1777396576.1034884, "env_id": "None"}
r,l,t
-5.978301,100,2.13021
-9.114788,100,2.474477
-8.177445,100,2.797492
-6.992677,100,3.12443
-2.262499,100,3.435552
-4.248106,100,3.732172
-8.404956,100,4.029966
-3.600784,100,4.346468
-4.965265,100,4.676193
-1.907679,100,4.983302
-6.709691,100,5.278834
-3.616721,100,5.614904
-4.842944,100,5.933141
-2.777923,100,6.250951
-9.48332,100,6.558861
-9.001335,100,6.856189
-5.688464,100,7.149396
-9.260076,100,7.45093
-8.649978,100,7.748924
-8.214557,100,8.040854
-9.037651,100,10.502506
-4.401486,100,10.814036
-8.919447,100,11.115673
-7.919319,100,11.411532
-9.422601,100,11.737243
-6.406381,100,12.051967
-7.960413,100,12.367314
-5.188414,100,12.687989
-3.075624,100,13.015542
-4.678339,100,13.333344
-10.005377,100,13.654387
-8.398188,100,13.996836
-6.55764,100,14.314482
-7.187707,100,14.645867
-11.031399,100,14.987062
-9.40429,100,15.320902
-6.949716,100,15.651219
-7.817689,100,16.000943
-2.606495,100,16.33654
-7.300231,100,16.677493
-7.18083,100,19.021309
-3.04943,100,19.341274
-9.083429,100,19.638597
-8.065887,100,19.937004
-9.509607,100,20.249093
-6.796295,100,20.551311
-7.677351,100,20.874919
-8.254545,100,21.193697
-8.777807,100,21.504003
-6.253832,100,21.816796
-6.729466,100,22.135056
-9.621756,100,22.464816
-9.642568,100,22.797509
-10.334928,100,23.126257
-9.087436,100,23.470655
-8.322012,100,23.794943
-3.065676,100,24.130052
-8.088835,100,24.46989
-2.439632,100,24.806043
-4.56112,100,25.13725
-9.314845,100,25.475847
-5.73677,100,27.816399
-2.828088,100,28.116282
-9.393808,100,28.41488
-4.363776,100,28.715719
-6.044038,100,29.025756
-5.816802,100,29.321057
-8.774647,100,29.636627
-8.172277,100,29.948105
-9.311484,100,30.260089
-3.741532,100,30.573895
-5.678647,100,30.909288
-5.936045,100,31.275147
-8.014763,100,31.59796
-10.066121,100,31.927664
-6.421185,100,32.248994
-8.233884,100,32.578716
-7.499282,100,32.914697
-4.61356,100,33.249331
-9.055469,100,33.58153
-9.134821,100,33.924717
-11.31199,100,36.271003
-9.855755,100,36.571916
-4.964263,100,36.866993
-5.106353,100,37.193105
-9.537108,100,37.492086
-10.170579,100,37.799619
-5.914888,100,38.118491
-6.926164,100,38.431615
-4.671656,100,38.741924
-4.110892,100,39.072886
-8.420277,100,39.404872
-6.561505,100,39.725759
-5.209587,100,40.052667
-8.05853,100,40.384398
-9.971277,100,40.704367
-3.824801,100,41.033709
-6.223046,100,41.376649
-8.393499,100,41.702049
-8.590521,100,42.033594
-8.381406,100,42.373669
-7.932334,100,42.703075
-7.185999,100,45.02458
-3.41586,100,45.32521
-5.778705,100,45.641516
-9.078117,100,45.937923
-10.589447,100,46.239194
-3.388143,100,46.557434
-8.780439,100,46.864578
-11.41229,100,47.175405
-10.922979,100,47.500084
-7.292097,100,47.818175
-9.636079,100,48.135973
-9.892441,100,48.451363
-6.2263,100,48.781694
-6.314421,100,49.103324
-7.682893,100,49.425
-2.793796,100,49.765094
-4.370713,100,50.091831
-7.138829,100,50.417299
-6.930579,100,50.755579
-6.473724,100,51.09121
-6.265994,100,53.426778
-9.916605,100,53.738054
