#{"t_start": 1777453782.6772127, "env_id": "Reacher-v5"}
r,l,t
-63.126724,50,2.115346
-61.309857,50,2.277112
-65.008567,50,2.415628
-58.735889,50,2.551261
-62.244849,50,2.69392
-65.4217,50,2.83156
-63.867799,50,2.967206
-57.882676,50,3.102307
-61.059944,50,3.241951
-50.641043,50,3.388904
-68.140295,50,3.524454
-64.461079,50,3.688268
-57.511176,50,3.830694
-59.676599,50,3.963954
-60.812229,50,4.094594
-58.909722,50,4.227188
-65.724589,50,4.363095
-59.945911,50,4.496126
-61.911617,50,4.62459
-57.703043,50,4.763014
-61.16333,50,4.898025
-51.447427,50,5.03221
-56.619802,50,5.16737
-61.232157,50,5.298801
-55.821558,50,5.437122
-60.017297,50,5.577311
-55.248274,50,5.737952
-65.082062,50,5.87347
-53.79943,50,6.007452
-61.729135,50,6.140345
-62.222443,50,6.291709
-63.473066,50,6.435227
-54.339381,50,6.572535
-63.458775,50,6.711673
-62.114433,50,6.856552
-60.542982,50,7.026163
-59.487535,50,7.163712
-56.667938,50,7.298772
-52.953978,50,7.467
-55.188182,50,7.608656
-55.241759,50,16.163954
-64.245852,50,16.30126
-60.328683,50,16.469995
-55.357874,50,16.616264
-65.710051,50,16.775148
-56.06675,50,16.959043
-57.089516,50,17.133274
-57.103877,50,17.29549
-53.706098,50,17.450091
-56.915775,50,17.587082
-58.699988,50,17.744818
-57.741247,50,17.879009
-61.984641,50,18.017834
-57.930053,50,18.16033
-52.580848,50,18.294927
-62.459447,50,18.437796
-57.801845,50,18.60159
-54.072714,50,18.739062
-60.941051,50,18.870128
-61.657865,50,19.006893
-61.768632,50,19.151836
-54.843075,50,19.286027
-61.708754,50,19.429302
-59.53724,50,19.560591
-48.986739,50,19.709364
-61.681021,50,19.844121
-68.077692,50,19.980082
-57.767272,50,20.116102
-65.225992,50,20.258442
-61.512193,50,20.400165
-61.235985,50,20.536028
-56.170977,50,20.7093
-62.885667,50,20.83982
-63.014884,50,20.973423
-62.594012,50,21.109156
-65.581636,50,21.251471
-67.641748,50,21.39097
-67.224725,50,21.527068
-61.042609,50,21.671199
-61.943337,50,21.805388
-58.514685,50,21.939084
-64.228301,50,29.937637
-52.583381,50,30.08935
-61.714901,50,30.235324
-56.955984,50,30.386689
-61.276497,50,30.542433
-54.189821,50,30.695782
-65.05182,50,30.840822
-59.989529,50,30.990425
-59.292617,50,31.138375
-65.472728,50,31.293096
-56.39268,50,31.47032
-56.40959,50,31.625129
-62.178069,50,31.778521
-58.336419,50,31.939595
-63.359072,50,32.096078
-49.204599,50,32.245625
-57.291564,50,32.39975
-61.378321,50,32.553601
-55.017388,50,32.70901
-57.678225,50,32.858823
-58.693958,50,33.023353
-60.184563,50,33.179719
-60.39531,50,33.328344
-63.933176,50,33.510502
-61.728568,50,33.668775
-59.778468,50,33.819024
-66.33604,50,33.975907
-55.916265,50,34.143059
-59.570337,50,34.289102
-53.298063,50,34.449801
-66.939943,50,34.622757
-75.710443,50,34.79555
-61.734564,50,34.955015
-60.337544,50,35.123524
-62.718614,50,35.281749
-58.628375,50,35.445545
-53.894868,50,35.627347
-59.047315,50,35.787235
-64.354741,50,35.948858
-58.059144,50,36.110862
-59.006231,50,36.263927
-52.795958,50,44.843079
-59.885736,50,44.99939
-47.702936,50,45.151563
-60.151738,50,45.314853
-60.374116,50,45.473309
-60.497941,50,45.632694
-64.875743,50,45.797097
-53.258476,50,45.947008
-59.059377,50,46.100045
-56.757718,50,46.27679
-54.551208,50,46.440837
-51.648111,50,46.594883
-52.065591,50,46.760615
-58.091903,50,46.911423
-61.017803,50,47.06117
-65.43193,50,47.218313
-62.3488,50,47.373406
-64.743825,50,47.527693
-54.850894,50,47.690204
-61.186392,50,47.863787
-54.997536,50,48.017949
-69.948108,50,48.175841
-59.387638,50,48.344338
-59.050128,50,48.517038
-60.26499,50,48.687176
-70.740019,50,48.850644
-49.434624,50,49.000604
-56.167934,50,49.152828
-60.983254,50,49.310978
-60.179509,50,49.461011
-61.827867,50,49.613368
-59.409039,50,49.787185
-56.930672,50,49.940188
-62.751226,50,50.094743
-57.261663,50,50.252047
-60.294888,50,50.407334
-56.739728,50,50.583308
-57.838462,50,50.746263
-62.067186,50,50.907484
-57.881104,50,51.062762
-59.874034,50,51.214479
-52.453815,50,59.995406
-58.006879,50,60.158196
-56.103045,50,60.320246
-63.176019,50,60.475866
-58.356511,50,60.703913
-56.563707,50,60.887735
-59.149076,50,61.073677
-47.63044,50,61.333566
-51.901482,50,61.550679
-55.220329,50,61.750599
-57.669047,50,61.942568
-55.404977,50,62.108458
-62.990084,50,62.266392
-58.505551,50,62.421529
-65.226833,50,62.577168
-53.630071,50,62.768554
-55.673484,50,62.927885
-56.424667,50,63.090554
-60.088352,50,63.253684
-50.11186,50,63.430858
-58.600837,50,63.587915
-55.282968,50,63.74279
-57.854886,50,63.896116
-52.109325,50,64.048205
-60.45959,50,64.206268
-58.71057,50,64.360911
-55.031048,50,64.512715
-62.773753,50,64.684837
-65.869754,50,64.847574
-60.230073,50,65.004279
-57.385419,50,65.167672
-54.985063,50,65.315492
-55.384247,50,65.49621
-55.395668,50,65.663595
