#{"t_start": 1776715034.032718, "env_id": "Reacher-v5"}
r,l,t
-63.126724,50,1.903898
-61.309857,50,2.044653
-65.008567,50,2.172755
-58.735889,50,2.316514
-62.244849,50,2.476366
-65.4217,50,2.60586
-63.867799,50,2.741313
-57.882676,50,2.876966
-61.059944,50,3.017106
-50.641043,50,3.151222
-68.140295,50,3.303429
-64.461079,50,3.435292
-57.511176,50,3.566055
-59.676599,50,3.70135
-60.812229,50,3.839516
-58.909722,50,3.998403
-65.724589,50,4.130636
-59.945911,50,4.262115
-61.911617,50,4.398129
-57.703043,50,4.528763
-61.16333,50,4.665147
-51.447427,50,4.803996
-56.619802,50,4.93669
-61.232157,50,5.082357
-55.821558,50,5.227808
-60.017297,50,5.385242
-55.248274,50,5.535027
-65.082062,50,5.669241
-53.79943,50,5.800474
-61.729135,50,5.937489
-62.222443,50,6.073939
-63.473066,50,6.219954
-54.339381,50,6.358286
-63.458775,50,6.518018
-62.114433,50,6.662032
-60.542982,50,6.801702
-59.487535,50,6.945013
-56.667938,50,7.079545
-52.953978,50,7.221011
-55.188182,50,7.353724
-55.241759,50,15.541356
-64.245852,50,15.737417
-60.328683,50,15.911063
-55.357874,50,16.079008
-65.710051,50,16.243861
-56.06675,50,16.403526
-57.089516,50,16.561609
-57.103877,50,16.724397
-53.706098,50,16.884466
-56.915775,50,17.043787
-58.699988,50,17.200017
-57.741247,50,17.358993
-61.984641,50,17.515187
-57.930053,50,17.677923
-52.580848,50,17.840425
-62.459447,50,18.019379
-57.801845,50,18.183494
-54.072714,50,18.338227
-60.941051,50,18.493216
-61.657865,50,18.651411
-61.768632,50,18.80717
-54.843075,50,18.971646
-61.708754,50,19.136731
-59.53724,50,19.295518
-48.986739,50,19.454112
-61.681021,50,19.609376
-68.077692,50,19.773813
-57.767272,50,19.92965
-65.225992,50,20.099186
-61.512193,50,20.26653
-61.235985,50,20.450949
-56.170977,50,20.693177
-62.885667,50,20.897948
-63.014884,50,21.085392
-62.594012,50,21.276058
-65.581636,50,21.449784
-67.641748,50,21.646126
-67.224725,50,21.8329
-61.042609,50,22.014468
-61.943337,50,22.221799
-58.514685,50,22.43289
-64.228301,50,32.024516
-52.583381,50,32.19476
-61.714901,50,32.370609
-56.955984,50,32.552689
-61.276497,50,32.738687
-54.189821,50,32.957661
-65.05182,50,33.144473
-59.989529,50,33.313329
-59.292617,50,33.493695
-65.472728,50,33.684053
-56.39268,50,33.870115
-56.40959,50,34.082773
-62.178069,50,34.264064
-58.336419,50,34.440571
-63.359072,50,34.626641
-49.204599,50,34.799147
-57.291564,50,35.007305
-61.378321,50,35.200072
-55.017388,50,35.383722
-57.678225,50,35.580776
-58.693958,50,35.758195
-60.184563,50,35.94723
-60.39531,50,36.138143
-63.933176,50,36.306792
-61.728568,50,36.559608
-59.778468,50,36.73474
-66.33604,50,36.917736
-55.916265,50,37.111339
-59.570337,50,37.291191
-53.298063,50,37.480554
-66.939943,50,37.662705
-75.710443,50,37.844222
-61.734564,50,38.021884
-60.337544,50,38.198044
-62.718614,50,38.386044
-58.628375,50,38.556087
-53.894868,50,38.719339
-59.047315,50,38.90293
-64.354741,50,39.092658
-58.059144,50,39.286123
-59.006231,50,39.46034
-52.795958,50,48.572295
-59.885736,50,48.736581
-47.702936,50,48.897337
-60.151738,50,49.080311
-60.374116,50,49.245651
-60.497941,50,49.407127
-64.875743,50,49.571759
-53.258476,50,49.744455
-59.059377,50,49.924376
-56.757718,50,50.096103
-54.551208,50,50.259505
-51.648111,50,50.44898
-52.065591,50,50.631894
-58.091903,50,50.79462
-61.017803,50,50.984157
-65.43193,50,51.159292
-62.3488,50,51.376333
-64.743825,50,51.556667
-54.850894,50,51.719054
-61.186392,50,51.886989
-54.997536,50,52.068182
-69.948108,50,52.258845
-59.387638,50,52.433397
-59.050128,50,52.615018
-60.26499,50,52.790771
-70.740019,50,52.984629
-49.434624,50,53.162489
-56.167934,50,53.342148
-60.983254,50,53.524884
-60.179509,50,53.697184
-61.827867,50,53.867539
-59.409039,50,54.103106
-56.930672,50,54.374538
-62.751226,50,54.623126
-57.261663,50,54.807949
-60.294888,50,54.994086
-56.739728,50,55.177926
-57.838462,50,55.362101
-62.067186,50,55.539953
-57.881104,50,55.727504
-59.874034,50,55.898101
-52.453815,50,65.697192
-58.006879,50,65.882354
-56.103045,50,66.06357
-63.176019,50,66.249643
-58.356511,50,66.459575
-56.563707,50,66.656777
