#{"t_start": 1777452907.7751002, "env_id": "Reacher-v5"}
r,l,t
-63.126724,50,2.474741
-61.309857,50,2.642142
-65.008567,50,2.77705
-58.735889,50,2.913256
-62.244849,50,3.065648
-65.4217,50,3.205901
-63.867799,50,3.347249
-57.882676,50,3.485161
-61.059944,50,3.639398
-50.641043,50,3.771849
-68.140295,50,3.906897
-64.461079,50,4.061957
-57.511176,50,4.197979
-59.676599,50,4.337243
-60.812229,50,4.476967
-58.909722,50,4.628071
-65.724589,50,4.760393
-59.945911,50,4.894988
-61.911617,50,5.030045
-57.703043,50,5.178368
-61.16333,50,5.320715
-51.447427,50,5.461643
-56.619802,50,5.608783
-61.232157,50,5.746074
-55.821558,50,5.882926
-60.017297,50,6.023371
-55.248274,50,6.168988
-65.082062,50,6.311776
-53.79943,50,6.455124
-61.729135,50,6.591059
-62.222443,50,6.735672
-63.473066,50,6.893951
-54.339381,50,7.072464
-63.458775,50,7.219862
-62.114433,50,7.380528
-60.542982,50,7.532635
-59.487535,50,7.676137
-56.667938,50,7.807693
-52.953978,50,7.943074
-55.188182,50,8.079562
-55.241759,50,15.722742
-64.245852,50,15.868194
-60.328683,50,16.009732
-55.357874,50,16.146188
-65.710051,50,16.281965
-56.06675,50,16.424513
-57.089516,50,16.572698
-57.103877,50,16.711245
-53.706098,50,16.844988
-56.915775,50,16.982156
-58.699988,50,17.123068
-57.741247,50,17.259786
-61.984641,50,17.392663
-57.930053,50,17.533274
-52.580848,50,17.67387
-62.459447,50,17.813674
-57.801845,50,17.952361
-54.072714,50,18.098326
-60.941051,50,18.227226
-61.657865,50,18.364772
-61.768632,50,18.519126
-54.843075,50,18.662426
-61.708754,50,18.795936
-59.53724,50,18.930893
-48.986739,50,19.069121
-61.681021,50,19.206058
-68.077692,50,19.362746
-57.767272,50,19.499403
-65.225992,50,19.63704
-61.512193,50,19.770103
-61.235985,50,19.918623
-56.170977,50,20.061749
-62.885667,50,20.203815
-63.014884,50,20.337298
-62.594012,50,20.474381
-65.581636,50,20.620972
-67.641748,50,20.754257
-67.224725,50,20.889121
-61.042609,50,21.03101
-61.943337,50,21.159428
-58.514685,50,21.31161
-64.228301,50,29.503091
-52.583381,50,29.689808
-61.714901,50,29.857911
-56.955984,50,30.027701
-61.276497,50,30.190972
-54.189821,50,30.361089
-65.05182,50,30.540405
-59.989529,50,30.740096
-59.292617,50,30.908326
-65.472728,50,31.080802
