#{"t_start": 1776768127.3476367, "env_id": "Reacher-v5"}
r,l,t
-63.126724,50,3.80158
-61.309857,50,4.080385
-65.008567,50,4.362367
-58.735889,50,4.667918
-62.244849,50,5.004133
-65.4217,50,5.290269
-63.867799,50,5.581852
-57.882676,50,5.902951
-61.059944,50,6.206459
-50.641043,50,6.497163
-68.140295,50,6.807884
-64.461079,50,7.112345
-57.511176,50,7.474173
-59.676599,50,7.806657
-60.812229,50,8.133774
-58.909722,50,8.460601
-65.724589,50,8.771513
-59.945911,50,9.095935
-61.911617,50,9.398599
-57.703043,50,9.694221
-61.16333,50,10.136321
-51.447427,50,10.506109
-56.619802,50,10.864422
-61.232157,50,11.190688
-55.821558,50,11.526945
-60.017297,50,11.806193
-55.248274,50,12.098098
-65.082062,50,12.380578
-53.79943,50,12.657697
-61.729135,50,12.929752
-62.222443,50,13.206296
-63.473066,50,13.539494
-54.339381,50,13.815297
-63.458775,50,14.091674
-62.114433,50,14.391249
-60.542982,50,14.703762
-59.487535,50,15.019429
-56.667938,50,15.36434
-52.953978,50,15.659936
-55.188182,50,15.942845
-55.241759,50,30.936287
-64.245852,50,31.239303
-60.328683,50,31.529699
-55.357874,50,31.805381
-65.710051,50,32.093827
-56.06675,50,32.379126
-57.089516,50,32.663599
-57.103877,50,32.950585
-53.706098,50,33.236358
-56.915775,50,33.525248
-58.699988,50,33.827251
-57.741247,50,34.130711
-61.984641,50,34.431938
-57.930053,50,34.715815
-52.580848,50,35.012935
-62.459447,50,35.333096
-57.801845,50,35.642778
-54.072714,50,35.939643
-60.941051,50,36.23192
-61.657865,50,36.507029
-61.768632,50,36.794168
-54.843075,50,37.089324
-61.708754,50,37.379152
-59.53724,50,37.703984
-48.986739,50,38.003524
-61.681021,50,38.305017
-68.077692,50,38.6143
-57.767272,50,38.933792
-65.225992,50,39.251126
-61.512193,50,39.543519
-61.235985,50,39.845741
-56.170977,50,40.137797
-62.885667,50,40.414521
-63.014884,50,40.693349
-62.594012,50,40.96563
-65.581636,50,41.24619
-67.641748,50,41.532327
-67.224725,50,41.81293
-61.042609,50,42.107119
-61.943337,50,42.371726
-58.514685,50,42.657641
-64.228301,50,57.368657
-52.583381,50,57.676038
-61.714901,50,57.960608
-56.955984,50,58.281208
-61.276497,50,58.572405
-54.189821,50,58.884952
-65.05182,50,59.191356
-59.989529,50,59.51486
-59.292617,50,59.791933
-65.472728,50,60.099271
-56.39268,50,60.405539
-56.40959,50,60.709908
-62.178069,50,61.011642
-58.336419,50,61.317038
-63.359072,50,61.628664
-49.204599,50,62.012569
-57.291564,50,62.367847
-61.378321,50,62.725493
-55.017388,50,63.177458
-57.678225,50,63.666726
-58.693958,50,64.090028
-60.184563,50,64.488247
-60.39531,50,64.882862
-63.933176,50,65.279447
-61.728568,50,65.642765
-59.778468,50,65.985896
-66.33604,50,66.33868
-55.916265,50,66.622528
-59.570337,50,66.913296
-53.298063,50,67.224048
-66.939943,50,67.514386
-75.710443,50,67.801351
-61.734564,50,68.142306
-60.337544,50,68.504678
-62.718614,50,68.907994
-58.628375,50,69.214126
-53.894868,50,69.505887
-59.047315,50,69.843045
-64.354741,50,70.195899
-58.059144,50,70.547999
-59.006231,50,70.956094
-52.795958,50,87.071143
-59.885736,50,87.410211
-47.702936,50,87.748991
-60.151738,50,88.088734
-60.374116,50,88.44944
-60.497941,50,88.742857
-64.875743,50,89.074964
-53.258476,50,89.385632
-59.059377,50,89.691596
-56.757718,50,90.055326
-54.551208,50,90.374861
-51.648111,50,90.696194
-52.065591,50,90.982141
-58.091903,50,91.278406
-61.017803,50,91.557587
-65.43193,50,91.839137
-62.3488,50,92.148838
-64.743825,50,92.517724
-54.850894,50,92.892814
-61.186392,50,93.25576
-54.997536,50,93.629752
-69.948108,50,93.9188
-59.387638,50,94.200427
-59.050128,50,94.485697
-60.26499,50,94.796077
-70.740019,50,95.117558
-49.434624,50,95.490639
-56.167934,50,95.853734
-60.983254,50,96.161566
-60.179509,50,96.492705
-61.827867,50,96.77935
-59.409039,50,97.098761
-56.930672,50,97.411364
-62.751226,50,97.728813
-57.261663,50,98.015359
-60.294888,50,98.316653
-56.739728,50,98.614208
-57.838462,50,98.988039
-62.067186,50,99.378978
-57.881104,50,99.673177
-59.874034,50,99.995941
-52.453815,50,119.208968
-58.006879,50,119.780009
-56.103045,50,120.361314
-63.176019,50,120.942934
-58.356511,50,121.499018
-56.563707,50,122.076698
-59.149076,50,122.648048
-47.63044,50,123.227386
-51.901482,50,123.827602
-55.220329,50,124.379845
-57.669047,50,124.990782
-55.404977,50,125.58182
-62.990084,50,126.188805
-58.505551,50,126.740247
-65.226833,50,127.109808
-53.630071,50,127.407549
-55.673484,50,127.779703
-56.424667,50,128.194074
-60.088352,50,128.597667
-50.11186,50,129.020947
-58.600837,50,129.43617
-55.282968,50,129.81775
-57.854886,50,130.203743
-52.109325,50,130.575243
-60.45959,50,131.003125
-58.71057,50,131.402025
-55.031048,50,131.801046
-62.773753,50,132.116813
-65.869754,50,132.434444
-60.230073,50,132.753902
-57.385419,50,133.139594
-54.985063,50,133.485319
-55.384247,50,134.038468
-55.395668,50,134.672282
-56.084101,50,135.343272
-61.764449,50,135.937786
-59.623879,50,136.532291
-64.989727,50,137.095449
-58.193346,50,137.651491
-66.119437,50,138.215859
-61.60489,50,138.770557
-71.809987,50,165.739808
-59.453959,50,166.327981
-58.997474,50,166.886105
-62.586872,50,167.45919
-53.889718,50,168.042473
-65.73802,50,168.6176
-59.987071,50,169.181813
-54.296436,50,169.750775
-57.249641,50,170.314405
-46.224698,50,170.867366
-49.016361,50,171.433658
-49.287304,50,171.993478
-57.316273,50,172.549291
-66.084766,50,173.115629
-59.336709,50,173.658744
-52.742721,50,174.223346
-63.183142,50,174.801552
-61.53816,50,175.357765
-61.162096,50,175.903034
-71.303673,50,176.460541
-61.775243,50,177.023463
-62.982114,50,177.586251
-59.329286,50,178.155009
-58.258656,50,178.754992
-62.090267,50,179.345927
-58.799495,50,179.92667
-57.508445,50,180.505822
-61.97542,50,181.114337
-58.763777,50,181.70124
-47.589465,50,182.259736
-58.730939,50,182.840163
-59.001179,50,183.428231
-57.463362,50,184.009855
-58.279317,50,184.588878
-60.438376,50,185.18878
-54.405048,50,185.77994
-61.572212,50,186.388459
-56.421735,50,186.983829
-52.676012,50,187.55916
-54.815453,50,188.191318
-58.673611,50,188.838209
-62.266705,50,205.604266
-48.837215,50,205.901089
-52.56357,50,206.179374
-57.056188,50,206.466265
-53.945062,50,206.743506
-58.945458,50,207.025078
-69.954576,50,207.309428
-56.32545,50,207.593769
-52.896294,50,207.887528
-52.561823,50,208.177827
-61.016955,50,208.465546
-65.248379,50,208.743875
-56.751909,50,209.029001
-58.173597,50,209.313007
-46.18764,50,209.581841
-53.173642,50,209.876711
-56.237953,50,210.209307
-57.792131,50,210.514234
-52.899932,50,210.803853
-57.602814,50,211.100083
-54.474096,50,211.397864
-60.832295,50,211.691509
-52.252401,50,211.976458
-59.120516,50,212.288343
-56.364869,50,212.606952
-57.193472,50,212.896689
-67.986962,50,213.173603
-54.37957,50,213.457222
-48.947203,50,213.731869
-59.867451,50,214.019373
-51.900988,50,214.295961
-58.201259,50,214.593369
-49.099228,50,214.867429
-58.693991,50,215.151994
-59.384383,50,215.435762
-58.399706,50,215.715578
-63.538747,50,216.006501
-51.242632,50,216.286666
-50.317456,50,216.58442
-59.52944,50,216.861393
-54.724598,50,217.14053
-55.511187,50,231.570838
-57.276981,50,231.864675
-56.208261,50,232.164101
-65.862722,50,232.461205
-55.307409,50,232.752914
-57.564812,50,233.060055
-55.192966,50,233.368808
-63.358314,50,233.659354
-54.443338,50,233.936733
-53.552278,50,234.244006
-64.2728,50,234.543473
-60.624193,50,234.836718
-60.703725,50,235.134293
-59.554248,50,235.419895
-64.236068,50,235.715765
-52.993131,50,235.993922
-56.739017,50,236.282271
-52.431954,50,236.5698
-57.620396,50,236.84498
-65.252879,50,237.125853
-56.743434,50,237.396857
-48.859387,50,237.681742
-58.958457,50,237.946155
-53.221214,50,238.227912
-52.009817,50,238.5347
-56.024376,50,238.837383
-61.449174,50,239.159231
-52.628858,50,239.432431
-56.08756,50,239.725961
-65.182437,50,240.027828
-50.813341,50,240.314437
-55.96177,50,240.613804
-55.464663,50,240.892655
-61.553845,50,241.170084
-46.879583,50,241.44685
-59.823323,50,241.739224
-57.042843,50,242.021866
-54.759528,50,242.301198
-57.697436,50,242.576922
-50.190972,50,242.868205
-47.91167,50,243.139016
-57.827612,50,257.877391
-65.634224,50,258.185849
-48.416959,50,258.471926
-55.073594,50,258.76209
-49.328643,50,259.05829
-53.817119,50,259.332672
-54.771445,50,259.611796
-60.17715,50,259.88718
-63.876817,50,260.184317
-54.286847,50,260.46953
-59.535697,50,260.753753
-51.047364,50,261.033075
-59.425159,50,261.316405
-57.181146,50,261.597337
-49.061427,50,261.877416
-52.066363,50,262.16072
-49.486736,50,262.502497
-59.630544,50,262.806597
-56.102582,50,263.128375
-56.300156,50,263.415858
-58.926941,50,263.701896
-56.750577,50,263.967956
-51.437668,50,264.262771
-55.318385,50,264.575716
-56.146322,50,264.878033
-53.999308,50,265.176914
-50.881928,50,265.458978
-56.445335,50,265.763444
-51.795636,50,266.035159
-57.397068,50,266.369858
-58.769607,50,266.692321
-58.649402,50,266.998247
-56.868736,50,267.292558
-48.879487,50,267.589298
-54.892032,50,267.900924
-50.35424,50,268.202198
-54.547888,50,268.489433
-56.541383,50,268.778592
-57.253759,50,269.077454
-54.842784,50,269.373066
-58.192007,50,269.667394
-63.718951,50,284.202429
-52.424703,50,284.481283
-56.768804,50,284.768797
-59.446831,50,285.05692
-50.096297,50,285.335463
-54.482811,50,285.607172
-53.327565,50,285.880102
-49.644213,50,286.156271
-57.257429,50,286.455651
-58.312516,50,286.744626
-58.455805,50,287.068437
-55.628594,50,287.350401
-56.157007,50,287.623575
-57.071414,50,287.910002
-57.139423,50,288.201676
-61.402292,50,288.489214
-46.184069,50,288.766732
-58.374686,50,289.048349
-53.608153,50,289.337169
-55.678289,50,289.606568
-63.446829,50,289.888529
-57.797469,50,290.179275
-51.126769,50,290.460068
-53.820252,50,290.768563
-55.109738,50,291.038522
-56.968167,50,291.313097
-50.721338,50,291.574347
-53.142526,50,291.85529
-62.217833,50,292.139313
-50.811556,50,292.42716
-54.924773,50,292.722736
-60.428514,50,293.022751
-60.591294,50,293.294494
-52.742017,50,293.569254
-54.024444,50,293.865836
-53.2313,50,294.147936
-55.204161,50,294.434703
-57.303107,50,294.727296
-57.260666,50,295.075546
-44.086746,50,295.373809
-55.023492,50,295.656116
-62.613175,50,310.505453
-50.712604,50,310.874353
-50.055721,50,311.277894
-57.120768,50,311.670956
-59.202589,50,311.971131
-53.77827,50,312.288162
-54.240923,50,312.590603
-55.567884,50,312.883135
-52.842631,50,313.171656
-57.395291,50,313.453037
-54.731315,50,313.736105
-57.805129,50,314.025059
-51.300254,50,314.361383
-62.144182,50,314.694858
-53.989494,50,315.020609
-60.639449,50,315.353513
-59.966162,50,315.651683
-52.604811,50,315.929309
-53.248479,50,316.262268
-48.394927,50,316.589421
-57.609075,50,316.941195
-56.467938,50,317.306536
-54.924113,50,317.600235
-48.948117,50,317.873248
-48.413009,50,318.152491
-50.637941,50,318.431859
-52.435653,50,318.71034
-50.588039,50,319.001857
-57.06083,50,319.374078
-55.028189,50,319.700786
-57.764311,50,320.021697
-54.411765,50,320.353526
-50.826113,50,320.661557
-47.681835,50,320.975783
-55.421965,50,321.265953
-57.464452,50,321.605593
-45.750176,50,321.919868
-53.674177,50,322.269367
-58.138947,50,322.659185
-45.902254,50,322.967563
-55.696961,50,323.243845
-60.278424,50,339.059267
-48.646588,50,339.381131
-51.448313,50,339.768576
-53.166483,50,340.154093
-58.62944,50,340.505287
-45.254044,50,340.794766
-57.053073,50,341.080203
-54.154287,50,341.386003
-45.89357,50,341.734939
-51.444162,50,342.047821
-51.042019,50,342.41662
-52.386199,50,342.778647
-57.042072,50,343.176339
-53.379042,50,343.526585
-56.033188,50,343.833856
-52.700257,50,344.160928
-58.28381,50,344.480433
-53.206298,50,344.814205
-46.791696,50,345.181314
-55.15458,50,345.536723
-57.796734,50,345.87017
-53.29819,50,346.212915
-45.839981,50,346.553517
-57.736703,50,346.904447
-54.121631,50,347.245275
-58.36447,50,347.585614
-60.55052,50,347.937937
-43.750811,50,348.288249
-57.043049,50,348.640911
-52.802164,50,349.000464
-57.143044,50,349.348696
-54.680983,50,349.691726
-49.586683,50,350.055659
-50.231803,50,350.361664
-53.692633,50,350.639337
-50.117137,50,350.967962
-51.804911,50,351.272708
-45.465131,50,351.580782
-59.145225,50,351.88265
-50.239342,50,352.208513
-60.962336,50,352.501185
-55.584876,50,368.03034
-42.772552,50,368.440694
-51.291617,50,368.826427
-52.377041,50,369.244165
-63.130081,50,369.65328
-52.073383,50,369.998536
-52.539667,50,370.29648
-43.458129,50,370.594977
-54.206824,50,370.893348
-43.060509,50,371.183903
-49.145583,50,371.485462
-51.833144,50,371.791519
-58.545423,50,372.132967
-50.905795,50,372.421232
-47.963464,50,372.740195
-55.392392,50,373.039839
-46.895115,50,373.328428
-56.437324,50,373.644484
-51.341073,50,373.962442
-53.616699,50,374.362766
-49.010717,50,374.673027
-55.030751,50,374.942834
-55.420828,50,375.224369
-51.119667,50,375.497106
-59.056374,50,375.789037
-51.589489,50,376.080549
-45.307632,50,376.379389
-42.192226,50,376.666461
-54.092506,50,376.949872
-45.196939,50,377.219206
-44.627582,50,377.479927
-48.489167,50,377.765743
-46.790693,50,378.061077
-55.094937,50,378.351649
-59.348573,50,378.674645
-61.886016,50,378.972452
-53.564043,50,379.280644
-52.441574,50,379.564367
-48.787399,50,379.859534
-44.837802,50,380.162875
-56.522728,50,380.438227
-49.681964,50,406.871518
-44.340708,50,407.458177
-47.494999,50,408.0456
-52.143165,50,408.640825
-48.597947,50,409.228619
-47.985203,50,409.823036
-44.531459,50,410.419481
-47.17191,50,411.063301
-58.604963,50,411.652346
-40.752361,50,412.308569
-47.833354,50,412.934613
-52.049617,50,413.508194
-46.376014,50,414.070868
-54.277503,50,414.623897
-51.786931,50,415.192759
-47.075497,50,415.764167
-53.664845,50,416.348397
-51.570088,50,416.912522
-47.132326,50,417.470644
-41.791583,50,418.032666
-50.764283,50,418.611925
-41.99283,50,419.171038
-45.76643,50,419.734668
-46.047924,50,420.298591
-51.387585,50,420.871657
-50.743843,50,421.443798
-47.243157,50,422.046786
-46.999584,50,422.641828
-53.835168,50,423.237288
-41.092763,50,423.835095
-53.277648,50,424.438996
-51.288556,50,425.012403
-64.316326,50,425.567305
-47.806295,50,426.119938
-46.405458,50,426.67443
-53.644104,50,427.246724
-55.765039,50,427.807954
-49.002818,50,428.363608
-52.546646,50,428.919277
-53.30991,50,429.492875
-50.599484,50,430.067282
-51.480591,50,448.250513
