#{"t_start": 1777454935.6719968, "env_id": "Reacher-v5"}
r,l,t
-48.654945,50,1.772379
-40.154008,50,1.859498
-43.369774,50,1.954017
-47.621556,50,2.042628
-31.35578,50,2.138678
-43.374353,50,2.230349
-41.288433,50,2.312073
-42.639616,50,2.398711
-43.965853,50,2.490097
-40.466298,50,2.574986
-45.935351,50,2.659748
-41.798608,50,2.743471
-46.926494,50,2.83379
-39.206213,50,2.919697
-38.879336,50,3.008718
-40.491389,50,3.096134
-39.042564,50,3.188859
-47.195964,50,3.274982
-39.479608,50,3.361619
-39.478748,50,3.448718
-47.254487,50,7.651259
-43.093121,50,11.753551
-47.698851,50,15.77782
-41.556834,50,19.952481
-50.927192,50,24.270949
-39.239104,50,28.674022
-39.903187,50,33.22818
-42.122875,50,37.705166
-37.659986,50,42.330771
-38.25574,50,47.004528
-37.751169,50,51.983622
-36.586997,50,57.059366
-32.557858,50,62.077596
-31.305439,50,66.939663
-29.666468,50,71.818432
-37.095776,50,76.691208
-39.287721,50,81.564892
-31.527799,50,86.316069
-36.928483,50,90.948724
-35.227968,50,95.574203
-33.658459,50,100.384923
-29.165667,50,105.108195
-32.298762,50,109.998451
-32.575599,50,114.906235
-31.240838,50,120.529919
-27.105307,50,125.44047
-25.337416,50,130.337057
-32.886146,50,135.123838
-31.445099,50,140.165578
-34.907617,50,145.345686
-30.767436,50,150.516595
-29.249291,50,155.317934
-37.193669,50,160.219005
-35.890542,50,164.932345
-29.773728,50,169.972118
-31.803708,50,174.899067
-30.382427,50,180.536296
-29.259561,50,185.682516
-31.890346,50,190.650909
-34.388059,50,195.419365
-26.274301,50,200.325889
-28.070667,50,205.282068
-26.750911,50,210.290651
-30.413327,50,215.121941
-34.540287,50,220.098201
-29.882885,50,224.933879
-32.551249,50,229.885417
-27.955105,50,235.038237
-27.830465,50,240.133084
-33.879763,50,244.965956
-32.259054,50,249.84771
-27.79224,50,254.960609
-36.267479,50,260.135837
-26.958236,50,265.018558
-37.95242,50,270.013176
-30.130697,50,275.047746
-33.931881,50,280.039715
-32.953012,50,284.938152
-24.683893,50,290.165397
-23.680096,50,295.159415
-29.455773,50,300.16987
-24.371428,50,305.10165
-24.746468,50,310.194549
-31.22475,50,315.211684
-21.495534,50,320.410389
-30.354247,50,325.535424
-27.524583,50,330.342341
-26.437331,50,335.215675
-26.024449,50,340.252251
-22.13214,50,345.10529
-27.04983,50,350.055433
-27.55682,50,354.995733
-25.730518,50,360.605258
-18.739334,50,365.577301
-20.441782,50,370.422426
-23.015052,50,375.199972
-24.065531,50,380.137663
-21.588123,50,385.04707
-33.401443,50,390.280493
-27.08918,50,395.294105
-21.872252,50,400.330962
-25.334025,50,405.320868
-23.030172,50,410.339126
-22.276016,50,415.456858
-25.69762,50,420.680347
-17.142785,50,425.549148
-19.932112,50,430.358668
-24.026328,50,435.175653
-18.093201,50,440.258617
-17.618216,50,445.132034
-21.366826,50,450.48995
-30.338553,50,455.533432
-18.739778,50,460.870215
-26.965876,50,465.752519
-27.289674,50,470.944626
-19.895142,50,476.047278
-17.847236,50,481.280909
-20.792316,50,486.096689
-22.972068,50,491.092904
-24.919154,50,495.879571
-22.860678,50,500.793259
-18.749403,50,505.731275
-21.148138,50,510.616913
-18.00904,50,515.465805
-18.279224,50,520.33717
-16.510534,50,525.494609
-20.605368,50,530.676865
-25.333182,50,536.219373
-21.141783,50,541.136224
-19.279177,50,546.329637
-17.473325,50,551.191723
-16.055393,50,556.025207
-18.087302,50,561.836222
-17.328421,50,566.724406
-20.04483,50,571.541004
-23.666013,50,576.378157
-21.503129,50,581.29647
-22.194214,50,586.066608
-22.206652,50,591.920715
-23.793691,50,598.21279
-17.426244,50,604.960004
-18.334037,50,611.460623
-18.477903,50,616.853826
-19.18558,50,622.554762
-18.134694,50,628.354233
-21.967354,50,634.376052
-22.140587,50,640.172283
-14.580104,50,645.833679
-17.50948,50,651.093013
-15.563368,50,656.426906
-17.143132,50,661.980105
-21.839116,50,667.597257
-13.48181,50,672.901649
-16.325388,50,678.049462
-18.966503,50,683.610085
-18.622095,50,689.071837
-15.923769,50,694.247933
-15.669936,50,699.094077
-15.851731,50,703.940384
-13.625544,50,709.001941
-16.07086,50,713.978543
-17.083707,50,719.374131
-18.608472,50,724.412909
-13.461017,50,729.550629
-20.736254,50,734.906807
-17.976906,50,739.970225
-15.448801,50,744.879691
-21.66683,50,750.130551
-16.297725,50,755.35704
-19.228351,50,760.401587
-19.521625,50,765.304445
-13.362603,50,770.245566
-16.352276,50,775.34039
-12.12461,50,780.784413
-15.651327,50,785.720234
-16.361788,50,790.655003
-23.036082,50,795.684796
-13.284856,50,801.079199
-15.282618,50,806.012995
-15.165566,50,810.946933
-17.63824,50,815.727339
-15.244543,50,820.721013
-18.336769,50,825.739702
-11.439724,50,830.678361
-20.299969,50,835.978328
-13.902301,50,840.843426
-12.040403,50,845.708117
-13.968691,50,850.485396
-9.237502,50,855.381105
-9.586046,50,860.484992
-19.30236,50,865.627146
-11.493464,50,870.811452
-15.433748,50,875.856719
-11.092466,50,880.834548
-8.414858,50,885.727047
-13.610549,50,890.646679
-15.800126,50,895.5858
-13.193601,50,900.443157
-10.845994,50,905.696902
-15.827638,50,910.745414
-16.689758,50,915.73576
-12.130716,50,920.614779
-20.202647,50,925.489223
-16.189556,50,930.497664
-20.21931,50,935.665648
-5.835975,50,940.674902
-10.840029,50,945.559022
-17.977048,50,950.531483
-14.947677,50,955.560893
-13.295593,50,960.850682
-12.926432,50,965.741323
-12.011225,50,970.642563
-18.308246,50,975.525903
-10.130061,50,980.38696
-8.968917,50,985.243845
-18.86744,50,990.141325
-9.644548,50,995.097832
-19.902773,50,1000.166002
-16.316352,50,1005.249136
-6.842321,50,1010.33065
-17.091117,50,1015.32791
-9.456493,50,1020.662096
-6.947679,50,1025.512336
-13.837746,50,1030.375304
-10.742988,50,1035.204874
-12.475315,50,1040.015223
-16.610551,50,1045.046856
-13.026453,50,1050.977906
-17.67598,50,1056.375801
-17.315273,50,1061.349223
-11.554129,50,1066.46575
-20.715657,50,1071.941544
-17.055419,50,1077.353698
-11.614456,50,1082.469988
-11.231827,50,1087.519929
-18.54301,50,1092.541866
-17.475093,50,1097.441406
-12.334168,50,1102.354478
-14.983068,50,1107.31492
-12.880064,50,1112.190429
-19.45025,50,1117.127695
-15.466459,50,1122.049695
-12.690401,50,1127.073909
-7.817975,50,1132.550301
-13.751312,50,1138.078395
-10.03265,50,1143.294945
-9.365307,50,1148.490616
-12.890879,50,1153.407161
-11.034803,50,1158.396684
-13.015671,50,1163.234501
-8.0889,50,1168.080087
-15.78271,50,1172.984644
-15.675469,50,1177.841047
-11.601249,50,1182.724886
-10.164696,50,1187.758304
-17.27516,50,1193.199563
-9.722649,50,1198.162204
-9.017713,50,1203.067625
-6.490604,50,1208.26545
-11.329486,50,1213.267526
-8.413002,50,1218.360741
-11.914402,50,1223.216457
-15.3348,50,1228.047228
-11.73599,50,1232.908752
-13.762156,50,1237.699236
-17.06438,50,1242.522268
-12.184323,50,1247.367874
-18.766173,50,1252.397344
-19.671966,50,1257.714478
-13.114867,50,1262.80037
-13.259096,50,1267.669057
-17.393762,50,1272.733464
-11.803722,50,1278.002286
-12.720363,50,1282.978289
-18.159774,50,1287.86026
-9.725119,50,1292.747267
-10.079316,50,1297.762233
-13.107746,50,1302.745097
-11.096668,50,1307.645914
-14.536985,50,1312.653787
-12.807286,50,1317.846237
-12.017105,50,1323.04859
-10.432292,50,1328.18064
-12.543948,50,1333.090194
-11.26055,50,1338.097332
-11.344459,50,1343.453274
-9.566757,50,1348.49745
-9.317505,50,1354.530866
-12.949345,50,1360.174001
-19.780934,50,1365.157192
-15.522669,50,1370.053344
-8.397431,50,1375.039547
-9.420787,50,1380.665871
-13.427434,50,1385.569851
-8.597481,50,1390.560238
-13.75604,50,1395.54782
-16.029999,50,1400.607977
-12.185617,50,1405.581604
-10.357773,50,1410.827661
-14.108242,50,1415.833349
-16.538712,50,1420.776812
-11.41566,50,1425.734656
-8.192869,50,1430.858571
-10.273965,50,1436.076066
-14.728286,50,1441.03898
-10.183102,50,1446.008597
-10.637479,50,1450.927614
-9.701621,50,1456.020097
-14.026547,50,1461.145599
-14.349352,50,1466.137081
-11.303177,50,1470.98022
-14.490904,50,1476.091624
-18.611812,50,1481.340408
-11.105875,50,1486.30332
-13.945084,50,1491.800837
-6.917641,50,1496.777756
-11.302842,50,1501.797573
-8.922038,50,1507.000989
-5.12024,50,1511.924884
-10.978819,50,1516.816339
-13.704413,50,1521.824296
-7.977901,50,1526.763405
-10.697586,50,1531.716192
-9.722292,50,1536.560523
-14.904466,50,1541.918885
-13.652123,50,1547.181096
-8.86857,50,1552.238814
-9.051588,50,1557.499528
-15.386914,50,1562.552752
-11.582182,50,1567.459801
-10.531061,50,1572.348281
-11.808945,50,1577.212667
-9.700037,50,1582.202271
-12.757564,50,1587.259687
-12.755607,50,1592.275996
-15.011861,50,1597.184531
-10.812546,50,1602.034087
-12.320833,50,1606.926429
-16.46307,50,1612.245756
-13.840806,50,1617.617103
-8.73404,50,1622.663698
-9.100943,50,1627.576834
-8.402072,50,1632.413787
-11.924941,50,1637.251595
-14.283815,50,1642.26187
-11.398913,50,1647.221781
-9.613249,50,1652.263981
-11.029341,50,1657.269189
-11.909779,50,1662.266253
-7.676067,50,1667.167846
-15.288988,50,1672.114724
-11.072291,50,1677.395852
-11.305528,50,1682.827603
-10.267763,50,1687.759723
-12.186111,50,1692.627935
-8.561352,50,1697.518413
-10.240921,50,1702.4963
-14.129973,50,1707.392012
-15.399438,50,1712.212396
-17.832612,50,1717.082837
-9.573361,50,1722.460212
-4.918701,50,1727.479209
-17.84141,50,1732.654559
-12.67295,50,1737.860312
-13.739801,50,1742.847972
-5.458482,50,1747.996344
-12.60233,50,1753.062041
-8.959624,50,1757.892457
-11.558808,50,1762.906919
-11.627016,50,1767.780343
-13.962309,50,1772.771747
-16.542268,50,1777.537319
-12.254994,50,1782.479481
-9.426597,50,1787.634021
-9.143318,50,1792.756526
-13.498431,50,1797.635974
-12.304783,50,1802.685121
-12.704627,50,1807.642788
-10.461036,50,1812.629678
-8.975464,50,1817.828202
-13.581107,50,1822.844065
-5.320076,50,1827.767775
-8.167126,50,1832.639998
-9.773139,50,1837.547038
-8.885908,50,1842.505367
-14.620262,50,1847.43713
-14.390911,50,1852.858927
-13.521673,50,1858.023099
-13.328715,50,1863.189697
-15.157262,50,1868.148529
-11.490422,50,1872.977458
-10.588115,50,1877.834694
-16.388692,50,1882.961213
-12.197839,50,1888.079744
-10.669484,50,1892.892524
-9.650989,50,1897.647486
-10.776061,50,1902.632428
-11.182194,50,1907.814378
-10.776163,50,1912.857772
-9.151949,50,1918.407852
-14.876458,50,1923.464858
-9.812783,50,1928.402667
-9.17689,50,1933.3076
-13.941628,50,1938.257571
-15.456435,50,1943.273743
-12.321286,50,1948.197947
-8.35808,50,1953.487103
-11.160557,50,1958.46907
-4.928142,50,1963.416801
-14.001966,50,1968.361075
-11.317159,50,1973.262668
-17.061153,50,1978.430184
-14.907291,50,1983.825289
-10.7785,50,1989.064791
-19.444038,50,1994.418983
-11.293797,50,1999.77106
-13.882723,50,2004.792566
-14.959362,50,2009.648467
-8.35989,50,2014.583777
-13.875492,50,2019.800492
-12.315614,50,2024.900889
-14.776063,50,2030.004568
-13.355266,50,2035.730984
-13.905612,50,2040.832599
-12.4394,50,2045.956451
-10.618921,50,2051.084161
-10.233273,50,2056.095301
-9.394336,50,2061.080442
-12.252741,50,2066.20252
-14.30428,50,2071.202333
-10.107648,50,2076.22836
-11.884742,50,2081.318119
-6.671526,50,2086.943708
-12.161293,50,2092.37228
-10.195481,50,2097.567872
-9.886689,50,2102.627218
-8.024162,50,2108.184093
-11.423248,50,2113.533969
-5.260515,50,2118.667303
-12.174888,50,2123.627675
-9.816027,50,2128.769227
-8.278785,50,2133.76149
-10.309901,50,2138.798286
-15.415013,50,2143.890589
-18.156901,50,2149.148742
-16.994946,50,2154.43196
-9.842458,50,2160.421772
-13.749072,50,2165.402761
-9.317954,50,2170.46364
-15.838114,50,2175.4675
-5.572527,50,2180.692324
-7.879007,50,2185.800985
-12.231652,50,2190.878045
