#{"t_start": 1776806551.9769068, "env_id": "Reacher-v5"}
r,l,t
-48.654945,50,1.687386
-40.154008,50,1.792256
-43.369774,50,1.885082
-47.621556,50,1.982704
-31.35578,50,2.121305
-43.374353,50,2.208946
-41.288433,50,2.296306
-42.639616,50,2.381494
-43.965853,50,2.474706
-40.466298,50,2.566758
-45.935351,50,2.661206
-41.798608,50,2.748302
-46.926494,50,2.841267
-39.206213,50,2.927132
-38.879336,50,3.011879
-40.491389,50,3.09787
-39.042564,50,3.187006
-47.195964,50,3.274665
-39.479608,50,3.36053
-39.478748,50,3.445821
-47.254487,50,7.753721
-43.093121,50,11.946669
-47.698851,50,16.329764
-41.556834,50,20.794461
-50.927192,50,25.407853
-39.239104,50,29.775974
-39.903187,50,34.160291
-42.122875,50,38.772667
-37.659986,50,43.618265
-38.25574,50,48.312393
-37.751169,50,53.235355
-36.586997,50,58.230036
-32.557858,50,63.486137
-31.305439,50,68.644805
-29.666468,50,73.88413
-37.095776,50,78.884202
-39.287721,50,84.52701
-31.527799,50,90.04618
-36.928483,50,94.951207
-35.227968,50,99.946506
-33.658459,50,104.924335
-29.165667,50,109.851376
-32.298762,50,115.026709
-32.575599,50,120.081648
-31.240838,50,125.607137
-27.105307,50,131.427156
-25.337416,50,136.979611
-32.886146,50,142.218661
-31.445099,50,147.727237
-34.907617,50,153.829239
-30.767436,50,159.269791
-29.249291,50,164.580428
-37.193669,50,169.824984
-35.890542,50,175.540777
-29.773728,50,180.831924
-31.803708,50,186.237748
-30.382427,50,191.657735
-29.259561,50,197.173587
-31.890346,50,202.56378
-34.388059,50,207.822653
-26.274301,50,213.31253
-28.070667,50,218.934657
-26.750911,50,224.343297
-30.413327,50,229.60404
-34.540287,50,235.441608
-29.882885,50,240.69443
-32.551249,50,245.995569
-27.955105,50,251.176245
-27.830465,50,256.577925
-33.879763,50,261.936133
-32.259054,50,267.366409
-27.79224,50,272.609132
-36.267479,50,277.900273
-26.958236,50,283.788986
-37.95242,50,289.272941
-30.130697,50,294.802654
-33.931881,50,300.144613
-32.953012,50,305.467669
-24.683893,50,310.998369
-23.680096,50,316.371381
-29.455773,50,321.679968
-24.371428,50,326.934083
-24.746468,50,332.318443
-31.22475,50,337.932586
-21.495534,50,343.528928
-30.354247,50,348.980215
-27.524583,50,354.63625
-26.437331,50,360.241575
-26.024449,50,365.868166
-22.13214,50,371.102086
-27.04983,50,376.418741
-27.55682,50,381.727291
-25.730518,50,387.226772
-18.739334,50,392.45679
-20.441782,50,398.378131
-23.015052,50,404.143684
-24.065531,50,409.6834
-21.588123,50,415.887552
-33.401443,50,421.864245
-27.08918,50,427.50232
-21.872252,50,433.024897
-25.334025,50,438.837862
-23.030172,50,444.34575
-22.276016,50,449.918195
-25.69762,50,455.600645
-17.142785,50,461.235835
-19.932112,50,466.47046
-24.026328,50,472.272846
