#{"t_start": 1776854776.4428172, "env_id": "Reacher-v5"}
r,l,t
-48.654945,50,1.411964
-40.154008,50,1.48209
-43.369774,50,1.552942
-47.621556,50,1.627151
-31.35578,50,1.702606
-43.374353,50,1.77651
-41.288433,50,1.845218
-42.639616,50,1.913947
-43.965853,50,1.998867
-40.466298,50,2.086237
-45.935351,50,2.157748
-41.798608,50,2.22502
-46.926494,50,2.313706
-39.206213,50,2.387243
-38.879336,50,2.461559
-40.491389,50,2.536773
-39.042564,50,2.612574
-47.195964,50,2.686029
-39.479608,50,2.753988
-39.478748,50,2.825266
-48.540797,50,4.280583
-40.444763,50,5.300263
-40.233685,50,6.308748
-40.074661,50,7.345596
-45.664753,50,8.40263
-48.824519,50,9.43889
-37.338567,50,10.453236
-36.31118,50,11.466257
-36.67716,50,12.563257
-34.800143,50,13.594473
-37.251667,50,14.614676
-28.707061,50,15.621595
-30.512177,50,16.681101
-33.594716,50,17.712168
-37.015891,50,18.805397
-31.452403,50,19.822492
-30.779626,50,20.881462
-30.637384,50,21.898316
-33.628837,50,22.913074
-33.947221,50,24.014259
-33.36384,50,25.073028
-28.518786,50,26.09461
-29.59299,50,27.156722
-25.444401,50,28.210058
-37.718727,50,29.319805
-28.884284,50,30.389307
-30.832511,50,31.471383
-31.695375,50,32.491786
-34.214092,50,33.605988
-34.394657,50,34.652866
-33.426595,50,35.707746
-27.60034,50,36.722029
-33.387006,50,37.789652
-32.542259,50,38.834133
-29.285263,50,39.915572
-31.274108,50,40.976885
-31.06465,50,42.230834
-30.045792,50,43.341354
-31.590896,50,44.811209
-20.775344,50,46.095529
-27.093207,50,47.141801
-36.431139,50,48.208916
-27.927079,50,49.432558
-25.463754,50,50.516905
-31.561472,50,51.618132
-32.279885,50,52.890301
-28.908451,50,54.194283
-25.151608,50,55.4388
-29.255568,50,56.645722
-31.793174,50,57.737372
-27.171781,50,58.876996
-33.988785,50,60.033406
-29.989704,50,61.269715
-33.263011,50,62.397841
-30.543038,50,63.499604
-27.985335,50,64.593849
-29.700928,50,65.713489
-21.09318,50,66.775227
-29.466645,50,67.838391
-20.899145,50,68.888236
-23.275149,50,69.972849
-23.51366,50,71.039021
-25.925396,50,72.109658
-27.508425,50,73.183288
-26.21128,50,74.303292
-24.124121,50,75.410978
-29.30541,50,76.491481
-26.009417,50,77.554408
-30.831165,50,78.649439
-22.362436,50,79.732795
-20.682729,50,80.821709
-21.323249,50,81.903316
-18.314035,50,83.02231
-20.018214,50,84.122941
-24.549154,50,85.231316
-23.356243,50,86.309003
-21.07328,50,87.437332
-22.721996,50,88.531796
-30.822874,50,89.604352
-27.607843,50,90.66946
-20.214529,50,91.798372
-28.246441,50,92.879357
-25.767528,50,93.975692
-24.976566,50,95.065714
-22.262355,50,96.177044
-28.095042,50,97.258336
-20.694667,50,98.337165
-29.053857,50,99.410024
-14.8972,50,100.514371
-20.040365,50,101.606351
-22.914955,50,102.693456
-21.365834,50,103.789675
-23.705062,50,104.905166
-22.887078,50,106.005814
-24.611787,50,107.069433
-17.218787,50,108.144199
-23.976249,50,109.278514
-17.264341,50,110.364219
-19.202628,50,111.443805
-18.599341,50,112.529637
-20.68939,50,113.639348
-16.676463,50,114.746082
-15.782376,50,115.842094
-18.374928,50,116.912618
-18.124434,50,118.021999
-15.812642,50,119.091101
-21.677967,50,120.160193
-26.657945,50,121.226679
-18.625359,50,122.360795
-18.470651,50,123.452521
-20.878322,50,124.541618
-14.552565,50,125.617397
-19.684051,50,126.748257
-15.797622,50,127.807804
-18.36629,50,128.876959
-23.718499,50,129.956105
-19.437146,50,131.058631
-21.315127,50,132.176497
-24.090409,50,133.259477
-21.755734,50,134.35041
-18.838064,50,135.453812
-22.550192,50,136.560083
-17.673011,50,137.618039
-16.819476,50,138.691842
-14.202498,50,139.792806
-20.82889,50,140.878173
-18.261015,50,141.940149
