#{"t_start": 1777465446.5311227, "env_id": "Reacher-v5"}
r,l,t
-48.654945,50,3.730505
-40.154008,50,3.924732
-43.369774,50,4.065441
-47.621556,50,4.250627
-31.35578,50,4.458414
-43.374353,50,4.621097
-41.288433,50,4.782212
-42.639616,50,4.902012
-43.965853,50,5.06213
-40.466298,50,5.196897
-45.935351,50,5.338241
-41.798608,50,5.528682
-46.926494,50,5.681823
-39.206213,50,5.845447
-38.879336,50,5.97478
-40.491389,50,6.080103
-39.042564,50,6.179688
-47.195964,50,6.287323
-39.479608,50,6.400306
-39.478748,50,6.500694
-9.168366,50,10.095728
-13.465133,50,13.78668
-19.519814,50,17.310615
-31.702563,50,20.832759
-53.732001,50,24.538466
-9.155289,50,28.299758
-9.762588,50,31.868745
-13.939045,50,35.436155
-8.726878,50,39.20136
-8.609272,50,43.710097
-11.82253,50,47.761003
-9.863737,50,51.649787
-7.321676,50,55.322536
-12.916438,50,59.163315
-8.598398,50,62.899529
-9.930807,50,66.568897
-8.627617,50,70.321156
-12.123029,50,73.923604
-8.027144,50,77.580259
-11.236218,50,81.13801
-7.228261,50,84.728575
-6.510883,50,88.284487
-7.064803,50,92.132742
-6.694522,50,95.84076
-7.210926,50,99.873734
-5.657753,50,103.43202
-7.231477,50,108.064591
-7.832,50,111.977685
-8.523432,50,115.999274
-14.574851,50,119.639709
-10.758332,50,123.338327
-6.584998,50,127.033977
-11.443965,50,130.741427
-14.337732,50,134.273028
-7.864829,50,137.830822
-10.467147,50,141.447378
-5.705358,50,144.985836
-7.04514,50,148.620099
-10.041513,50,152.47578
-6.3257,50,155.966987
-13.374219,50,159.659336
-8.085023,50,163.492323
-9.949822,50,167.460351
-12.415655,50,171.027005
-12.598587,50,174.569757
-14.23359,50,178.266839
-14.208348,50,181.895312
-6.470882,50,185.511668
-11.764692,50,189.364593
-12.874968,50,193.56429
-10.988897,50,197.332375
-9.048403,50,200.568239
-12.902854,50,204.043118
-8.752234,50,207.834455
-13.157858,50,211.238953
-11.501245,50,214.697818
-12.921866,50,218.207747
-9.769278,50,221.378722
-8.253056,50,224.634683
-7.847423,50,227.772859
-7.863784,50,231.200241
-10.470494,50,234.603772
-6.082217,50,237.786356
-13.298387,50,240.904176
-7.532797,50,244.11234
-9.579931,50,247.367938
-6.231998,50,250.831407
-10.921839,50,254.163187
-10.753909,50,257.388955
-6.47206,50,260.528902
-10.786293,50,263.655843
-9.17935,50,266.800995
-8.841253,50,270.032781
-9.44921,50,273.202499
-14.015943,50,276.341955
-17.38743,50,279.592216
-9.246506,50,283.027344
-9.919857,50,286.325486
-14.40686,50,289.528016
-11.214867,50,292.670491
-10.6854,50,295.875563
-7.919419,50,299.23625
-12.855547,50,302.549877
-8.377933,50,305.755515
-9.851281,50,309.018388
-7.69345,50,312.33046
-8.4251,50,315.609684
-11.866728,50,318.724526
-7.637239,50,321.913196
-7.356618,50,325.068431
-9.246625,50,328.246806
-14.111365,50,331.442621
-8.55408,50,334.68845
-12.705028,50,337.846954
-8.788638,50,341.062459
-7.017862,50,344.298198
-8.124349,50,347.564456
-6.640913,50,350.74882
-7.540006,50,353.929364
-11.351913,50,357.101933
-9.182294,50,360.352101
-8.490788,50,363.578254
-7.984269,50,366.947742
-8.036638,50,370.339699
-9.742065,50,373.698616
-12.646199,50,377.020469
-9.878539,50,380.316818
-15.29788,50,383.525752
-15.827046,50,386.80715
-13.740826,50,390.096528
-13.70133,50,393.591194
-11.995759,50,396.93888
-10.879719,50,400.421693
-8.580847,50,403.615649
-9.680271,50,406.984625
-7.278921,50,410.136317
-6.905629,50,413.376184
-12.156119,50,416.713825
-10.092644,50,419.883015
-15.398785,50,423.045455
-10.653411,50,426.30331
-11.459145,50,429.504853
-9.668145,50,432.820787
-9.472311,50,436.313379
-7.719412,50,439.664882
-11.692204,50,442.886352
-5.29529,50,446.194865
-12.759457,50,449.512737
-11.885559,50,452.785527
-8.623259,50,456.019152
-6.622922,50,459.251557
-18.507259,50,462.493617
-6.116009,50,465.953168
-11.465424,50,469.240053
-7.094023,50,472.70915
-8.632292,50,476.197099
-10.923165,50,479.54262
-11.868771,50,482.728354
-4.731796,50,485.889457
-11.846007,50,489.166772
-8.868759,50,492.665402
-11.527276,50,496.376159
-15.648005,50,499.776812
-5.798658,50,503.485033
-13.475901,50,507.074587
-7.398115,50,510.260894
-9.232854,50,513.514889
-14.221082,50,516.778604
-6.600145,50,520.106296
-8.709548,50,523.386766
-12.714885,50,526.718954
-7.552533,50,530.028055
-13.050178,50,533.560988
-8.692141,50,536.867999
-12.954155,50,540.151625
-5.611048,50,543.497526
-16.201109,50,546.909704
-6.952162,50,550.515644
-6.371443,50,553.988362
-8.303611,50,557.266808
-12.807834,50,560.535898
-10.562054,50,563.78212
-7.856683,50,567.060015
-5.102541,50,570.537369
-13.71764,50,574.090791
-6.822881,50,577.300841
-10.52095,50,580.646689
-6.642218,50,583.963308
-4.997353,50,587.393279
-6.477285,50,590.555468
-13.503197,50,593.767998
-10.506762,50,597.506308
-14.892634,50,600.788816
-5.154154,50,604.121342
-5.659173,50,607.315092
-6.538857,50,610.551168
-5.462401,50,613.800396
-6.464569,50,617.019145
-5.982401,50,620.202587
-9.007287,50,623.416889
-13.22899,50,626.639368
-7.967476,50,629.771203
-13.217973,50,632.935649
-18.554714,50,636.270341
-16.657097,50,639.86557
-4.126611,50,643.269866
-9.699443,50,646.776273
-17.338444,50,650.057907
-14.270557,50,653.343597
-14.644094,50,656.571104
-6.936452,50,659.752402
-7.352599,50,663.333042
-19.331548,50,666.654263
-6.296058,50,669.874962
-6.00968,50,673.138115
-15.809754,50,676.346149
-10.882468,50,679.616225
-13.214204,50,682.774997
