#{"t_start": 1776937106.0685017, "env_id": "Reacher-v5"}
r,l,t
-48.654945,50,2.57391
-40.154008,50,2.700379
-43.369774,50,2.792336
-47.621556,50,2.885339
-31.35578,50,2.978773
-43.374353,50,3.065979
-41.288433,50,3.153261
-42.639616,50,3.242873
-43.965853,50,3.33265
-40.466298,50,3.423372
-45.935351,50,3.512624
-41.798608,50,3.602646
-46.926494,50,3.720589
-39.206213,50,3.811394
-38.879336,50,3.901569
-40.491389,50,3.992633
-39.042564,50,4.088969
-47.195964,50,4.176486
-39.479608,50,4.269242
-39.478748,50,4.355659
-55.008852,50,7.42978
-106.929981,50,10.661562
-106.319587,50,14.164309
-104.102307,50,17.842024
-111.306201,50,21.89054
-106.733289,50,25.430776
-104.444934,50,28.928222
-110.710806,50,32.661733
-106.947825,50,36.311591
-103.197923,50,39.855742
-108.168507,50,43.431365
-107.374378,50,46.891408
-104.623318,50,50.520953
-110.646181,50,54.252146
-105.714501,50,58.149516
-107.232262,50,61.905441
-109.189513,50,65.766467
-107.996323,50,69.376206
-107.150807,50,72.967442
-106.838398,50,76.449905
-103.033679,50,80.13464
-104.104013,50,83.645728
-106.774487,50,87.273031
-103.161235,50,90.938943
-109.020932,50,94.560899
-104.390438,50,98.147938
-104.422639,50,101.765275
-107.462739,50,105.379089
-104.128553,50,109.257091
-110.843241,50,112.934525
-106.737309,50,116.744943
-105.305662,50,120.695173
-107.518632,50,124.50017
-110.017378,50,128.498935
-103.717618,50,132.138498
-107.332346,50,135.815158
-104.819345,50,139.804846
-104.34523,50,143.359857
-108.591101,50,146.938437
-107.190358,50,150.506366
-109.404077,50,154.148277
-108.301666,50,157.800554
-106.954753,50,161.399256
-108.244296,50,164.935778
-108.784145,50,168.747467
-111.196967,50,172.569872
-110.419536,50,176.306271
-106.060453,50,180.084391
-109.004716,50,183.773956
-109.035454,50,187.791708
-107.89055,50,191.599488
-106.651413,50,195.27441
-109.494702,50,198.861604
-107.415084,50,202.544721
-109.599387,50,206.091427
-108.112152,50,209.774571
-110.165494,50,213.420365
-109.893325,50,217.114438
-106.950933,50,220.747151
-107.665053,50,224.742373
-106.941411,50,228.373001
-107.171041,50,232.343139
-103.35193,50,236.230116
-109.663893,50,240.04895
-108.102928,50,243.650306
-105.689796,50,247.385101
-103.507768,50,251.018054
-110.143139,50,254.807324
-106.665107,50,258.58009
-102.501289,50,262.61322
-106.186817,50,266.329132
-104.764238,50,271.198701
-108.386717,50,275.905904
-106.054814,50,279.951395
-108.200674,50,283.888567
-109.288162,50,287.941299
-103.021161,50,291.848018
-105.575044,50,296.073534
-109.852108,50,300.056786
-108.625895,50,304.337794
-106.322984,50,308.201518
-108.410068,50,312.39616
-109.831242,50,316.319629
-105.102071,50,320.534287
-110.108469,50,324.83845
-109.087923,50,328.868435
-109.575522,50,333.117285
-107.877798,50,337.057329
-107.518128,50,341.078932
-108.664308,50,345.208002
-109.278081,50,349.347858
-107.803274,50,353.36195
-110.566524,50,358.378955
-110.710154,50,362.788333
-109.899024,50,366.715801
-102.457551,50,370.421169
-107.730961,50,374.268127
-104.602073,50,378.086149
-103.52165,50,381.810614
-107.882682,50,385.424297
-104.277713,50,389.236817
-105.345041,50,393.094639
-107.26409,50,396.795278
-107.08808,50,400.480498
-104.650866,50,404.243053
-106.781984,50,407.946768
-105.546495,50,411.660482
-110.452573,50,415.329086
-107.887124,50,419.147968
-105.235327,50,422.857249
-106.329874,50,426.576232
-107.30494,50,430.231588
-105.945163,50,433.911107
-106.632682,50,437.703595
-104.3067,50,441.464333
-109.340795,50,445.119316
-107.536635,50,448.911527
-108.516442,50,452.955726
-108.807877,50,456.847621
-110.400852,50,460.605161
-105.142496,50,464.273851
-106.776454,50,467.945493
-105.277372,50,471.631706
-107.808624,50,475.282462
-105.568512,50,479.143721
-108.188878,50,482.850952
-109.763231,50,486.640832
-107.775477,50,490.28979
-103.800993,50,494.007799
-107.312874,50,497.640637
-103.658866,50,501.378678
-110.202684,50,505.014634
-105.765721,50,508.80044
-106.148795,50,512.597772
-107.913698,50,516.394357
-104.874846,50,520.172414
-102.828352,50,524.130592
-103.661594,50,527.923965
-107.923775,50,531.716128
-104.768394,50,535.43356
-107.604358,50,539.437521
-103.25962,50,543.213032
-107.309779,50,546.878061
-104.268675,50,550.724584
-109.049761,50,554.472676
-104.615872,50,558.325382
-108.383565,50,562.229859
-107.009138,50,565.979322
-103.064537,50,569.66172
-106.153868,50,573.35187
-109.213535,50,577.1402
-105.697164,50,580.89385
-104.746216,50,584.665939
-104.56198,50,588.601796
-107.849098,50,592.5104
-108.410288,50,596.319556
-110.874025,50,600.228385
-108.825443,50,603.916286
-106.704116,50,607.601913
-102.822447,50,611.34795
-105.434777,50,615.131553
-105.501545,50,618.991863
-107.273206,50,622.754143
-107.330066,50,626.549994
-107.82518,50,630.544315
-107.843995,50,634.350207
-106.380503,50,638.292581
-105.203873,50,642.002389
-109.820084,50,645.823567
-107.300285,50,649.482587
-107.47683,50,653.268345
-105.137782,50,657.154682
-106.762414,50,661.267157
-106.085554,50,665.041114
-105.313703,50,668.913402
-106.388362,50,672.876253
-108.229339,50,677.028419
-106.60187,50,681.275961
-108.41431,50,685.251899
-106.418705,50,689.351026
-108.254602,50,693.748096
-105.255096,50,698.039707
-108.683891,50,702.117021
-109.881005,50,706.363583
-109.076298,50,710.46773
-108.131628,50,714.86979
-106.571638,50,719.03872
-110.877095,50,723.219556
-107.253227,50,727.761793
-106.912008,50,731.875813
-105.785302,50,736.309805
-104.84718,50,740.544231
-110.928768,50,744.660688
-106.050752,50,748.438052
-105.931548,50,752.265886
-108.278638,50,755.957501
-108.710202,50,759.570739
-110.615238,50,763.244655
-107.354621,50,766.869364
-105.250721,50,770.66068
-108.735058,50,774.319817
-107.418854,50,778.026713
-107.060369,50,781.707208
-110.932688,50,785.36344
-106.823535,50,789.041058
-106.477565,50,792.936881
-109.663035,50,796.838452
-105.89233,50,800.606579
-109.165166,50,804.287391
-111.143466,50,807.985785
-108.887426,50,812.279744
-110.015096,50,816.485379
-106.946848,50,820.329764
-106.078094,50,824.11789
-108.629508,50,827.984639
-109.466342,50,831.80088
-108.453324,50,835.679278
-108.722839,50,839.452634
-110.18418,50,843.337746
-106.392556,50,847.095227
-110.895638,50,850.901622
-105.506124,50,854.560876
-110.906245,50,858.606231
-102.956811,50,862.665555
-108.246805,50,866.393919
-104.928941,50,870.271257
-108.090469,50,874.203586
-108.565393,50,878.085088
-106.797158,50,881.997843
-106.023391,50,885.701984
-105.337728,50,889.432482
-109.051207,50,893.172108
-107.689817,50,896.865237
-105.006081,50,900.560924
-105.383706,50,904.323136
-107.576101,50,908.068182
-108.591399,50,911.703043
-103.489912,50,915.396505
-106.38498,50,919.268053
-105.237181,50,923.088377
-104.620808,50,926.974371
-104.749433,50,931.094345
-108.19573,50,934.719277
-107.497594,50,938.363707
-108.56338,50,942.094282
-109.369706,50,945.906671
-106.007452,50,949.920231
-108.427157,50,954.366436
-109.257837,50,958.979646
-110.337311,50,962.906368
-107.022443,50,966.973486
-110.609788,50,970.827295
-108.343377,50,974.704233
-104.265153,50,978.526372
-108.597801,50,982.332577
-108.561662,50,985.990576
-105.595887,50,989.994157
-104.669676,50,994.011753
-106.605502,50,998.232859
-108.718395,50,1002.088062
-108.936505,50,1006.107435
-105.276239,50,1009.831209
-103.7849,50,1013.900536
-107.763995,50,1017.697677
-110.88534,50,1021.406951
-103.692524,50,1025.0817
-102.60381,50,1028.835809
-107.005816,50,1032.473118
-106.304913,50,1036.201083
-110.251471,50,1040.074792
-109.328958,50,1043.968536
-106.678428,50,1047.630689
-105.840398,50,1051.571381
-107.485496,50,1055.279621
-105.839818,50,1059.153892
-109.161157,50,1063.259392
-109.245483,50,1067.125211
-106.70649,50,1071.392519
-107.592986,50,1075.82614
-108.764633,50,1079.849734
-108.123061,50,1083.824049
-105.868965,50,1087.60307
-105.925553,50,1091.24492
-102.901515,50,1094.919473
-107.717714,50,1098.61755
-110.27201,50,1102.451775
-103.611044,50,1106.072381
-106.892289,50,1109.692684
-111.237156,50,1113.977417
-106.775229,50,1118.29759
-108.87514,50,1122.309903
-105.021224,50,1126.824189
-110.598725,50,1131.179681
-105.581407,50,1135.999433
-109.477335,50,1140.35309
-108.092056,50,1145.332149
-105.87659,50,1149.595826
-109.331639,50,1153.895792
-108.521416,50,1158.27227
-106.879543,50,1162.507619
-108.715119,50,1167.13552
-108.884517,50,1171.157463
-108.394507,50,1174.973057
-103.067549,50,1178.691842
-107.603501,50,1182.848198
-108.018849,50,1186.543117
-103.607084,50,1190.199326
-107.689582,50,1193.999913
-109.267744,50,1197.883284
-108.150914,50,1201.643756
-106.015934,50,1205.240375
-107.474451,50,1209.004062
-105.104773,50,1214.371993
-106.926473,50,1222.528213
-105.811421,50,1227.71337
-108.942239,50,1231.654379
-110.501581,50,1241.146413
-107.182129,50,1247.809281
-106.482416,50,1252.092182
-107.411294,50,1256.774625
-108.92014,50,1260.71901
-103.365864,50,1265.213266
-108.087006,50,1269.289295
-105.597125,50,1273.62396
-109.486306,50,1278.928028
-105.141775,50,1283.914363
-104.515448,50,1288.544868
-106.358222,50,1292.976915
-107.987894,50,1297.469261
-104.944575,50,1301.596069
-106.069816,50,1305.913021
-108.21771,50,1310.341053
-103.665087,50,1315.083714
-102.965722,50,1320.024925
-103.402973,50,1326.856722
-105.072225,50,1333.049114
-107.573716,50,1338.359082
-108.722121,50,1343.082603
-107.166806,50,1347.677368
-109.954973,50,1352.224619
-102.269783,50,1356.655374
-109.226511,50,1360.949452
-108.787851,50,1365.309668
-110.902794,50,1370.582995
-108.845891,50,1375.221006
-106.946264,50,1380.34391
-110.088805,50,1384.95115
-102.169016,50,1390.057458
-108.793651,50,1394.624535
-108.720598,50,1399.995002
-106.651969,50,1404.360825
-110.218918,50,1408.377646
-104.761042,50,1412.461965
-105.902241,50,1416.57441
-105.602193,50,1420.625958
-107.604785,50,1424.5405
-107.680737,50,1428.387966
-110.396994,50,1432.280673
-108.65623,50,1436.621027
-107.754547,50,1440.592236
-108.74757,50,1444.736239
-108.007952,50,1448.759297
-102.689002,50,1452.84124
-106.257654,50,1456.761104
-102.555459,50,1460.699467
-109.356739,50,1464.592706
