#{"t_start": 1776943639.6980085, "env_id": "Reacher-v5"}
r,l,t
-48.654945,50,2.655056
-40.154008,50,2.789755
-43.369774,50,2.919702
-47.621556,50,3.077425
-31.35578,50,3.271518
-43.374353,50,3.374786
-41.288433,50,3.466354
-42.639616,50,3.556695
-43.965853,50,3.650528
-40.466298,50,3.742377
-45.935351,50,3.844874
-41.798608,50,3.933299
-46.926494,50,4.025492
-39.206213,50,4.116928
-38.879336,50,4.206687
-40.491389,50,4.295896
-39.042564,50,4.389971
-47.195964,50,4.478322
-39.479608,50,4.569419
-39.478748,50,4.661761
-44.435774,50,4.760059
-40.323616,50,4.859753
-42.993446,50,4.950673
-46.114987,50,5.040363
-42.735445,50,5.134831
-44.744942,50,5.235996
-47.960213,50,5.326084
-41.393451,50,5.414029
-44.476151,50,5.505417
-40.135439,50,5.595828
-39.573974,50,5.688024
-42.350178,50,5.782929
-40.636293,50,5.886514
-46.228371,50,5.975873
-44.318525,50,6.065388
-43.245813,50,6.157625
-41.400667,50,6.253368
-43.465209,50,6.343216
-36.680023,50,6.43121
-43.966959,50,6.518296
-40.443405,50,6.611205
-36.397221,50,6.706414
-40.079552,50,6.802133
-44.917924,50,6.895843
-47.5769,50,6.989136
-34.990801,50,7.080966
-40.852061,50,7.169959
-41.959299,50,7.260571
-40.207652,50,7.354811
-49.758567,50,7.44449
-42.553886,50,7.533105
-43.308461,50,7.624346
-52.951843,50,7.719525
-48.159231,50,7.835887
-42.12511,50,7.954119
-42.823789,50,8.049048
-41.289078,50,8.150983
-45.842891,50,8.246659
-42.145792,50,8.338975
-42.513688,50,8.428576
-42.194484,50,8.522871
-41.615171,50,8.620389
-41.243168,50,8.712817
-40.774738,50,8.810104
-44.288384,50,8.912019
-44.519929,50,9.001943
-46.153895,50,9.090585
-37.087515,50,9.182157
-46.21257,50,9.2832
-43.347724,50,9.376473
-39.536133,50,9.466836
-41.882556,50,9.555403
-45.533083,50,9.646236
-44.845941,50,9.733686
-48.706991,50,9.835473
-40.923601,50,9.938458
-40.810638,50,10.031374
-43.978586,50,10.129144
-51.597218,50,10.232607
-36.733293,50,10.337493
-38.488082,50,10.45169
-46.399439,50,10.56024
-40.304122,50,10.660967
-48.051539,50,10.753434
-48.115823,50,10.872202
-45.150786,50,11.003543
-46.027897,50,11.119685
-42.46331,50,11.225308
-45.615549,50,11.336169
-43.815727,50,11.443111
-45.828741,50,11.538453
-39.208262,50,11.63633
-43.736305,50,11.736302
-37.430246,50,11.832034
-40.698003,50,11.950313
-46.451222,50,12.049402
-39.82852,50,12.147254
-43.610411,50,12.244834
-39.406818,50,12.33722
-43.583067,50,12.439279
-31.023617,50,16.396
-108.374095,50,20.195143
-109.225442,50,24.129896
-104.75701,50,27.759615
-109.967753,50,31.699462
-109.447424,50,35.493944
-110.152145,50,39.115989
-107.27767,50,42.881878
-108.191505,50,46.74871
-108.974302,50,50.339874
-109.071769,50,54.262123
-107.615728,50,58.006874
-110.736048,50,61.659981
-110.212741,50,65.301997
-110.125672,50,68.872751
-102.563078,50,72.628614
-108.402446,50,76.678683
-104.87273,50,80.528482
-103.239462,50,84.66869
-108.326617,50,88.672335
-104.028114,50,92.329219
-104.998964,50,96.425284
-107.669011,50,100.30253
-107.631015,50,104.145833
-105.160026,50,107.936492
-107.271827,50,111.807975
-105.37209,50,115.603596
-109.89578,50,119.385353
-107.713797,50,123.399656
-105.039158,50,127.246727
-106.487859,50,131.096602
-107.857671,50,135.026975
-105.781753,50,138.894716
-107.062406,50,142.669879
-103.981017,50,146.506394
-109.722384,50,150.329892
-108.136658,50,154.261183
-107.952943,50,158.031414
-108.417886,50,162.050907
-109.781737,50,165.742426
-104.930351,50,169.452289
-106.329162,50,173.127245
-104.932878,50,176.828084
-107.541871,50,180.489115
-105.534368,50,184.165024
-107.954146,50,187.835507
-110.265321,50,191.539443
-107.887359,50,195.410976
-103.553312,50,199.168926
-107.91181,50,202.955812
-103.891409,50,206.806186
-109.513862,50,210.491845
-106.381821,50,214.277843
-106.479118,50,218.454852
-108.228826,50,222.641965
-104.93336,50,226.649247
-102.720863,50,231.433776
-103.714673,50,236.242874
-108.375062,50,240.803312
-104.600813,50,244.777277
-108.250058,50,248.603358
-103.117426,50,252.719038
-106.790451,50,256.594944
-104.619104,50,260.582845
-108.766861,50,264.900016
-105.065213,50,269.230076
-109.136817,50,273.187332
-106.44435,50,277.619766
-103.357149,50,281.783072
-105.850825,50,286.270461
-109.5517,50,291.154962
-105.70567,50,295.72512
-104.401869,50,299.80021
-104.910698,50,304.074786
-107.629756,50,308.146461
-109.123212,50,312.330431
-110.356225,50,316.316219
-108.983756,50,320.34327
-107.320073,50,324.69459
-103.032819,50,328.518556
-105.019162,50,332.326583
-105.090299,50,336.147579
-108.053477,50,339.856414
-107.774475,50,343.533589
-107.279937,50,347.301586
-108.548244,50,350.988567
-106.978786,50,354.88876
-105.42788,50,358.91118
-110.416244,50,362.918339
-107.477766,50,366.677691
-107.639887,50,370.387794
-104.716131,50,374.172887
-106.413544,50,377.871942
-106.578065,50,381.681723
-105.885407,50,385.486713
-106.642246,50,389.221683
-108.702823,50,393.132553
-107.021797,50,397.507255
-109.079367,50,401.914473
-106.633115,50,406.205787
-108.321098,50,410.357697
-105.666572,50,414.586212
-108.57227,50,418.868429
-109.236355,50,424.95737
-108.640201,50,429.975076
-108.810464,50,434.55457
-107.125457,50,439.111534
-110.188002,50,443.3992
-106.938378,50,447.733292
-106.439659,50,452.306592
-106.368165,50,456.80937
-105.018087,50,461.233229
-110.27582,50,465.642282
-106.378653,50,469.728211
-106.506621,50,473.911865
-108.022111,50,478.00422
-109.440531,50,482.070967
-110.169092,50,486.229964
-107.874974,50,490.461213
-105.818404,50,495.09373
-108.255068,50,499.557884
-108.106893,50,503.64916
-107.526961,50,507.825577
-110.384153,50,511.934337
-107.083814,50,516.332945
-106.150131,50,520.496107
-109.038701,50,524.689471
-105.618441,50,528.838195
-108.978432,50,533.039811
-110.662236,50,537.123729
-109.189197,50,541.287557
-109.731374,50,545.685729
-106.788714,50,550.043637
-106.628333,50,554.176476
-109.406171,50,558.750886
-109.228526,50,563.340536
-108.364648,50,568.02088
-109.290788,50,572.437291
-109.722678,50,577.033846
-106.699352,50,581.512992
-110.214965,50,586.038221
-105.667605,50,590.477341
-110.629199,50,595.003545
-102.869023,50,599.483256
-107.963819,50,604.157837
-105.302064,50,608.642356
-108.966167,50,612.885087
-109.418484,50,617.200883
-106.97501,50,621.684685
-105.932895,50,626.4643
-105.315516,50,631.097551
-108.561782,50,635.428169
-107.442917,50,639.5729
-104.669331,50,643.938792
-105.636241,50,648.375194
-107.002813,50,652.646587
-108.517609,50,656.867774
-103.471115,50,661.228297
-107.066548,50,665.517225
-105.680463,50,669.893814
-104.973077,50,674.390358
-104.806256,50,678.741683
-108.063154,50,683.3748
-107.641661,50,688.038318
-108.05913,50,692.239549
-108.772041,50,696.728258
-106.691698,50,701.003767
-107.803593,50,705.055952
-108.645733,50,709.122938
-110.013938,50,713.407682
-106.534982,50,717.66589
-109.931413,50,722.125891
-108.146771,50,726.199403
-104.670567,50,730.36105
-107.974862,50,734.49204
-109.209747,50,738.516205
-106.102107,50,742.903682
-104.659409,50,747.100941
-106.913332,50,751.111188
-108.560294,50,755.241812
-108.406364,50,759.261472
-104.905333,50,763.535557
-103.871604,50,767.765402
-108.583135,50,771.935527
-110.779972,50,775.943561
-103.377792,50,780.120523
-102.403755,50,784.153751
-106.889536,50,788.232231
